"name","url","form_number","api_number","well_name","location","county","effective_date","scan_date","doc_ID","relevance"
"35011243710000_BIRCH 36_25_24-15N-12W 3HXX_14437313","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14437313&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35011243710000","BIRCH 36_25_24-15N-12W 3HXX","3615N12W SE NE SE SW","Blaine","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14437313",
"35011243720000_BIRCH 36_25_24-15N-12W 4HXX_14437307","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14437307&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35011243720000","BIRCH 36_25_24-15N-12W 4HXX","3615N12W SE NE SE SW","Blaine","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14437307",
"35037295250000_EDD 1_14441520","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14441520&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35037295250000","EDD 1","0617N07E NE NE NW NE","Creek","2/14/2024 12:00:00 AM","2/14/2024 12:00:00 AM","14441520",
"35045239420000_SHREWDER TRUST 22-15-10 1H_14444345","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14444345&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35045239420000","SHREWDER TRUST 22-15-10 1H","2718N23W N2 S2 N2 NE","Ellis","2/14/2024 12:00:00 AM","2/14/2024 12:00:00 AM","14444345",
"35049252160000_NANCY 1-4_14439519","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439519&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35049252160000","NANCY 1-4","0401N02WIM C N2 SW NW","Garvin","2/8/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439519",
"35039226320000_ABERNATHY 1/12 CN 2HR_14435212","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14435212&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35039226320000","ABERNATHY 1/12 CN 2HR","0113N17W NE NW NE NW","Custer","2/12/2024 12:00:00 AM","2/12/2024 12:00:00 AM","14435212",
"35049254470000_MIKE D 0203-12-1 2WHX_14431308","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14431308&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35049254470000","MIKE D 0203-12-1 2WHX","1802N02W NE NW NW NW","Garvin","2/9/2024 12:00:00 AM","2/9/2024 12:00:00 AM","14431308",
"35049252160001_NANCY 1-4_14427320","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14427320&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35049252160001","NANCY 1-4","0401N02W C N2 SW NW","Garvin","2/8/2024 12:00:00 AM","2/8/2024 12:00:00 AM","14427320",
"35049254470000_MIKE D 0203-12-1 2WHX_14439514","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439514&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35049254470000","MIKE D 0203-12-1 2WHX","1802N02WIM NE NW NW NW","Garvin","2/9/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439514",
"35049254480000_MIKE D 0203-12-1 3WHX_14439513","https://public.occ.ok.gov/OGCDWellRecords/DocView.aspx?id=14439513&dbid=0&repo=OCC&searchid=c59d2fe5-2335-4c4c-87d7-ecc65ffb468a","1000","35049254480000","MIKE D 0203-12-1 3WHX","1802N02WIM NE NW NW NW","Garvin","2/9/2024 12:00:00 AM","2/13/2024 12:00:00 AM","14439513",
