Adair,1/1/1989
Alfalfa,1/1/1975
Atoka,11/1/1999
Beaver,5/1/1998
Beckham,11/1/1988
Blaine,6/1/1997
Bryan,6/1/1990
Carter,3/1/1999
Cherokee,1/1/1976
Choctaw,10/1/1986
Cimarron,8/1/1985
Coal,1/1/1999
Comanche,3/1/1987
Cotton,2/1/1984
Craig,7/1/1957
Custer,10/1/1969
Delaware,9/1/1958
Dewey,3/1/2000
Ellis,1/1/1938
Garvin,4/1/1991
Grady,5/1/1929
Grant,9/1/1994
Greer,7/1/2013
Harmon,1/1/1901
Harper,5/1/2007
Haskell,11/1/1994
Hughes,3/1/1981
Jackson,10/1/2003
Jefferson,4/1/1983
Johnston,8/1/1988
Kay,1/1/1973
Kingfisher,5/1/1985
Kiowa,1/1/2005
Latimer,9/1/1967
LeFlore,1/1/1982
Lincoln,10/1/1993
Logan,1/1/1985
Love,7/1/1982
Major,2/1/1999
Marshall,9/1/1990
Mayes,4/1/1985
McClain,6/1/1985
McCurtain,3/1/2001
McIntosh,7/1/1986
Murray,8/1/1977
Muskogee,2/1/2007
Noble,7/1/1996
Nowata,11/1/1989
Okfuskee,2/1/1993
Okmulgee,1/1/1995
Osage,6/1/1992
Ottawa,11/1/1992
Pawnee,1/1/1994
Pittsburg,6/1/1989
Pontotoc,1/1/1991
Pushmataha,3/1/1956
Roger Mills,1/1/1902
Seminole,7/1/1994
Sequoyah,1/1/1962
Stephens,2/1/1996
Texas,10/1/1979
Tillman,1/1/1980
Washington,6/1/1972
Washita,4/1/1973
Woodward,6/1/1991
